Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Age,Nature,Observation Status,Reporting Type,Sex,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2011,21.57,2011,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2012,21.29,2012,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2012,30.56,2012,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2012,12.56,2012,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2013,30.5,2013,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2013,21.3,2013,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2013,12.65,2013,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2014,12.69,2014,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2014,21.24,2014,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2014,30.34,2014,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2015,30.26,2015,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2015,21.31,2015,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2015,12.92,2015,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2016,13.16,2016,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2016,21.46,2016,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2016,30.31,2016,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2017,21.48,2017,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2017,13.35,2017,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2017,30.15,2017,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2018,29.98,2018,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2018,13.52,2018,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2018,21.49,2018,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2019,21.41,2019,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2019,13.56,2019,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2019,29.77,2019,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2020,31.14,2020,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2020,15.77,2020,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2020,23.22,2020,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2021,21.83,2021,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2021,14.3,2021,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2021,29.83,2021,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2022,29.07,2022,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2022,13.31,2022,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2022,20.95,2022,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
